,p1_len,p2_len,p1_len_bin,p2_len_bin,pair_len,pair_bin,y_hat,label,model_name,tp,fp,tn,fn,t,f
0,1020,173,1050,200,1020,1050,0.6840150356292725,1.0,prottrans_bert_random,1,0,0,0,1,0
1,783,175,800,200,783,800,0.656080961227417,0.0,prottrans_bert_random,0,1,0,0,0,1
2,298,247,300,250,298,300,0.6517736911773682,1.0,prottrans_bert_random,1,0,0,0,1,0
3,371,357,400,400,371,400,0.0859984531998634,0.0,prottrans_bert_random,0,0,1,0,1,0
4,492,359,500,400,492,500,0.1733990311622619,0.0,prottrans_bert_random,0,0,1,0,1,0
5,133,472,150,500,472,500,0.9890100359916688,1.0,prottrans_bert_random,1,0,0,0,1,0
6,96,513,100,550,513,550,0.7364994287490845,1.0,prottrans_bert_random,1,0,0,0,1,0
7,494,968,500,1000,968,1000,0.1431712061166763,0.0,prottrans_bert_random,0,0,1,0,1,0
8,535,140,550,150,535,550,0.2005154341459274,0.0,prottrans_bert_random,0,0,1,0,1,0
9,367,154,400,200,367,400,0.1027415469288826,0.0,prottrans_bert_random,0,0,1,0,1,0
10,354,520,400,550,520,550,0.5638464689254761,0.0,prottrans_bert_random,0,1,0,0,0,1
11,104,879,150,900,879,900,0.2246898263692855,0.0,prottrans_bert_random,0,0,1,0,1,0
12,727,536,750,550,727,750,0.6731911301612854,0.0,prottrans_bert_random,0,1,0,0,0,1
13,494,485,500,500,494,500,0.3557582795619964,0.0,prottrans_bert_random,0,0,1,0,1,0
14,480,282,500,300,480,500,0.8292537331581116,1.0,prottrans_bert_random,1,0,0,0,1,0
15,1382,133,1400,150,1382,1400,0.8704620599746704,1.0,prottrans_bert_random,1,0,0,0,1,0
16,380,377,400,400,380,400,0.9467405676841736,1.0,prottrans_bert_random,1,0,0,0,1,0
17,131,167,150,200,167,200,0.5926991701126099,1.0,prottrans_bert_random,1,0,0,0,1,0
18,863,566,900,600,863,900,0.588013768196106,1.0,prottrans_bert_random,1,0,0,0,1,0
19,292,335,300,350,335,350,0.6566672921180725,1.0,prottrans_bert_random,1,0,0,0,1,0
20,822,785,850,800,822,850,0.6937488913536072,1.0,prottrans_bert_random,1,0,0,0,1,0
21,201,437,250,450,437,450,0.0622930563986301,0.0,prottrans_bert_random,0,0,1,0,1,0
22,731,1276,750,1300,1276,1300,0.6181233525276184,0.0,prottrans_bert_random,0,1,0,0,0,1
23,732,444,750,450,732,750,0.138002797961235,1.0,prottrans_bert_random,0,0,0,1,0,1
24,183,587,200,600,587,600,0.0340774245560169,0.0,prottrans_bert_random,0,0,1,0,1,0
25,168,471,200,500,471,500,0.5392440557479858,0.0,prottrans_bert_random,0,1,0,0,0,1
26,628,770,650,800,770,800,0.4409535229206085,1.0,prottrans_bert_random,0,0,0,1,0,1
27,380,1020,400,1050,1020,1050,0.5169153213500977,0.0,prottrans_bert_random,0,1,0,0,0,1
28,372,1556,400,1600,1556,1600,0.2451721429824829,0.0,prottrans_bert_random,0,0,1,0,1,0
29,155,866,200,900,866,900,0.5758432745933533,1.0,prottrans_bert_random,1,0,0,0,1,0
30,372,711,400,750,711,750,0.018926428630948,0.0,prottrans_bert_random,0,0,1,0,1,0
31,360,411,400,450,411,450,0.0211179759353399,0.0,prottrans_bert_random,0,0,1,0,1,0
32,696,341,700,350,696,700,0.0467232167720794,0.0,prottrans_bert_random,0,0,1,0,1,0
33,282,725,300,750,725,750,0.4644992649555206,0.0,prottrans_bert_random,0,0,1,0,1,0
34,632,311,650,350,632,650,0.3907270133495331,0.0,prottrans_bert_random,0,0,1,0,1,0
35,367,511,400,550,511,550,0.5398814082145691,0.0,prottrans_bert_random,0,1,0,0,0,1
36,1523,863,1550,900,1523,1550,0.1435476690530777,0.0,prottrans_bert_random,0,0,1,0,1,0
37,200,372,200,400,372,400,0.0426583439111709,0.0,prottrans_bert_random,0,0,1,0,1,0
38,117,355,150,400,355,400,0.1236718446016311,0.0,prottrans_bert_random,0,0,1,0,1,0
39,156,825,200,850,825,850,0.6763617992401123,0.0,prottrans_bert_random,0,1,0,0,0,1
40,367,439,400,450,439,450,0.9953173398971558,0.0,prottrans_bert_random,0,1,0,0,0,1
41,565,185,600,200,565,600,0.7152571082115173,1.0,prottrans_bert_random,1,0,0,0,1,0
42,797,520,800,550,797,800,0.5190365314483643,1.0,prottrans_bert_random,1,0,0,0,1,0
43,511,511,550,550,511,550,0.5286527872085571,1.0,prottrans_bert_random,1,0,0,0,1,0
44,97,374,100,400,374,400,0.0265144445002079,0.0,prottrans_bert_random,0,0,1,0,1,0
45,167,404,200,450,404,450,0.6348483562469482,1.0,prottrans_bert_random,1,0,0,0,1,0
46,91,110,100,150,110,150,0.9609735608100892,1.0,prottrans_bert_random,1,0,0,0,1,0
47,220,163,250,200,220,250,0.7848966717720032,0.0,prottrans_bert_random,0,1,0,0,0,1
48,773,879,800,900,879,900,0.6863003373146057,0.0,prottrans_bert_random,0,1,0,0,0,1
49,797,913,800,950,913,950,0.7352532148361206,1.0,prottrans_bert_random,1,0,0,0,1,0
50,655,166,700,200,655,700,0.0298092868179082,0.0,prottrans_bert_random,0,0,1,0,1,0
51,956,277,1000,300,956,1000,0.1147583052515983,0.0,prottrans_bert_random,0,0,1,0,1,0
52,330,744,350,750,744,750,0.4686319828033447,0.0,prottrans_bert_random,0,0,1,0,1,0
53,163,126,200,150,163,200,0.0206606686115264,0.0,prottrans_bert_random,0,0,1,0,1,0
54,371,505,400,550,505,550,0.1840627640485763,1.0,prottrans_bert_random,0,0,0,1,0,1
55,566,467,600,500,566,600,0.3992225229740143,0.0,prottrans_bert_random,0,0,1,0,1,0
56,1161,404,1200,450,1161,1200,0.0576597489416599,0.0,prottrans_bert_random,0,0,1,0,1,0
57,148,357,150,400,357,400,0.8783007860183716,0.0,prottrans_bert_random,0,1,0,0,0,1
58,360,735,400,750,735,750,0.8035948872566223,1.0,prottrans_bert_random,1,0,0,0,1,0
59,95,199,100,200,199,200,0.9820913672447203,1.0,prottrans_bert_random,1,0,0,0,1,0
60,445,472,450,500,472,500,0.8749301433563232,1.0,prottrans_bert_random,1,0,0,0,1,0
61,297,233,300,250,297,300,0.2640524506568908,0.0,prottrans_bert_random,0,0,1,0,1,0
62,98,105,100,150,105,150,0.9998358488082886,1.0,prottrans_bert_random,1,0,0,0,1,0
63,439,110,450,150,439,450,0.9551436305046082,1.0,prottrans_bert_random,1,0,0,0,1,0
64,73,325,100,350,325,350,0.7962700724601746,0.0,prottrans_bert_random,0,1,0,0,0,1
65,822,185,850,200,822,850,0.7439543604850769,1.0,prottrans_bert_random,1,0,0,0,1,0
66,1581,178,1600,200,1581,1600,0.7415673136711121,1.0,prottrans_bert_random,1,0,0,0,1,0
67,322,439,350,450,439,450,0.0755353793501854,0.0,prottrans_bert_random,0,0,1,0,1,0
68,144,464,150,500,464,500,0.985893487930298,1.0,prottrans_bert_random,1,0,0,0,1,0
69,844,736,850,750,844,850,0.8192399740219116,1.0,prottrans_bert_random,1,0,0,0,1,0
70,1586,1085,1600,1100,1586,1600,0.5883355140686035,0.0,prottrans_bert_random,0,1,0,0,0,1
71,256,393,300,400,393,400,0.3778177201747894,0.0,prottrans_bert_random,0,0,1,0,1,0
72,298,465,300,500,465,500,0.5388315320014954,1.0,prottrans_bert_random,1,0,0,0,1,0
73,1058,131,1100,150,1058,1100,0.7339994311332703,1.0,prottrans_bert_random,1,0,0,0,1,0
74,144,86,150,100,144,150,0.6135869026184082,1.0,prottrans_bert_random,1,0,0,0,1,0
75,155,163,200,200,163,200,0.6866613030433655,1.0,prottrans_bert_random,1,0,0,0,1,0
76,526,2261,550,2300,2261,2300,0.0255667101591825,0.0,prottrans_bert_random,0,0,1,0,1,0
77,913,374,950,400,913,950,0.7352740168571472,1.0,prottrans_bert_random,1,0,0,0,1,0
78,336,451,350,500,451,500,0.6343161463737488,0.0,prottrans_bert_random,0,1,0,0,0,1
79,70,727,100,750,727,750,0.9822301864624025,1.0,prottrans_bert_random,1,0,0,0,1,0
80,116,115,150,150,116,150,0.4874345362186432,1.0,prottrans_bert_random,0,0,0,1,0,1
81,369,775,400,800,775,800,0.034240074455738,0.0,prottrans_bert_random,0,0,1,0,1,0
82,956,249,1000,250,956,1000,0.3272701501846313,0.0,prottrans_bert_random,0,0,1,0,1,0
83,1310,175,1350,200,1310,1350,0.0032968285959213,0.0,prottrans_bert_random,0,0,1,0,1,0
84,435,344,450,350,435,450,0.7589935660362244,0.0,prottrans_bert_random,0,1,0,0,0,1
85,146,128,150,150,146,150,0.9917802214622498,1.0,prottrans_bert_random,1,0,0,0,1,0
86,179,98,200,100,179,200,0.9986419081687928,1.0,prottrans_bert_random,1,0,0,0,1,0
87,396,312,400,350,396,400,0.6085967421531677,1.0,prottrans_bert_random,1,0,0,0,1,0
88,285,540,300,550,540,550,0.5204201936721802,1.0,prottrans_bert_random,1,0,0,0,1,0
89,499,128,500,150,499,500,0.9175159335136414,1.0,prottrans_bert_random,1,0,0,0,1,0
90,566,1507,600,1550,1507,1550,0.6779674291610718,1.0,prottrans_bert_random,1,0,0,0,1,0
91,198,472,200,500,472,500,0.3908008337020874,0.0,prottrans_bert_random,0,0,1,0,1,0
92,1304,142,1350,150,1304,1350,0.2944615185260772,1.0,prottrans_bert_random,0,0,0,1,0,1
93,499,478,500,500,499,500,0.4894533455371856,0.0,prottrans_bert_random,0,0,1,0,1,0
94,343,78,350,100,343,350,0.6164246201515198,0.0,prottrans_bert_random,0,1,0,0,0,1
95,243,365,250,400,365,400,0.1212771162390708,0.0,prottrans_bert_random,0,0,1,0,1,0
96,796,365,800,400,796,800,0.4607063233852386,0.0,prottrans_bert_random,0,0,1,0,1,0
97,462,456,500,500,462,500,0.0291933435946702,0.0,prottrans_bert_random,0,0,1,0,1,0
98,360,671,400,700,671,700,0.6605327129364014,0.0,prottrans_bert_random,0,1,0,0,0,1
99,115,76,150,100,115,150,0.9846991896629332,1.0,prottrans_bert_random,1,0,0,0,1,0
100,972,464,1000,500,972,1000,0.7462038397789001,1.0,prottrans_bert_random,1,0,0,0,1,0
101,3000,2215,3000,2250,3000,3000,0.209190547466278,1.0,prottrans_bert_random,0,0,0,1,0,1
102,380,595,400,600,595,600,0.5700989961624146,1.0,prottrans_bert_random,1,0,0,0,1,0
103,798,1067,800,1100,1067,1100,0.088149793446064,0.0,prottrans_bert_random,0,0,1,0,1,0
104,550,1507,550,1550,1507,1550,0.6773728132247925,1.0,prottrans_bert_random,1,0,0,0,1,0
105,2058,668,2100,700,2058,2100,0.2672589123249054,0.0,prottrans_bert_random,0,0,1,0,1,0
106,677,1140,700,1150,1140,1150,0.8291226029396057,1.0,prottrans_bert_random,1,0,0,0,1,0
107,591,1009,600,1050,1009,1050,0.7425470352172852,1.0,prottrans_bert_random,1,0,0,0,1,0
108,296,618,300,650,618,650,0.1959515213966369,0.0,prottrans_bert_random,0,0,1,0,1,0
109,1029,860,1050,900,1029,1050,0.7127600908279419,0.0,prottrans_bert_random,0,1,0,0,0,1
110,110,322,150,350,322,350,0.6029948592185974,1.0,prottrans_bert_random,1,0,0,0,1,0
111,646,298,650,300,646,650,0.7030596137046814,1.0,prottrans_bert_random,1,0,0,0,1,0
112,977,351,1000,400,977,1000,0.5297175645828247,0.0,prottrans_bert_random,0,1,0,0,0,1
113,474,1313,500,1350,1313,1350,0.1142802610993385,0.0,prottrans_bert_random,0,0,1,0,1,0
114,282,508,300,550,508,550,0.0278363842517137,0.0,prottrans_bert_random,0,0,1,0,1,0
115,558,440,600,450,558,600,0.0097285592928528,0.0,prottrans_bert_random,0,0,1,0,1,0
116,91,96,100,100,96,100,0.9732024669647216,1.0,prottrans_bert_random,1,0,0,0,1,0
117,86,322,100,350,322,350,0.5783477425575256,1.0,prottrans_bert_random,1,0,0,0,1,0
118,178,178,200,200,178,200,0.8488210439682007,1.0,prottrans_bert_random,1,0,0,0,1,0
119,904,217,950,250,904,950,0.4542665183544159,0.0,prottrans_bert_random,0,0,1,0,1,0
