,p1_len,p2_len,label,p1_len_bin,p2_len_bin
0,1020,173,1,1050,200
1,783,175,0,800,200
2,298,247,1,300,250
3,371,357,0,400,400
4,492,359,0,500,400
5,133,472,1,150,500
6,96,513,1,100,550
7,494,968,0,500,1000
8,535,140,0,550,150
9,367,154,0,400,200
10,354,520,0,400,550
11,104,879,0,150,900
12,727,536,0,750,550
13,494,485,0,500,500
14,480,282,1,500,300
15,1382,133,1,1400,150
16,380,377,1,400,400
17,131,167,1,150,200
18,863,566,1,900,600
19,292,335,1,300,350
20,822,785,1,850,800
21,201,437,0,250,450
22,731,1276,0,750,1300
23,732,444,1,750,450
24,183,587,0,200,600
25,168,471,0,200,500
26,628,770,1,650,800
27,380,1020,0,400,1050
28,372,1556,0,400,1600
29,155,866,1,200,900
30,372,711,0,400,750
31,360,411,0,400,450
32,696,341,0,700,350
33,282,725,0,300,750
34,632,311,0,650,350
35,367,511,0,400,550
36,1523,863,0,1550,900
37,200,372,0,200,400
38,117,355,0,150,400
39,156,825,0,200,850
40,367,439,0,400,450
41,565,185,1,600,200
42,797,520,1,800,550
43,511,511,1,550,550
44,97,374,0,100,400
45,167,404,1,200,450
46,91,110,1,100,150
47,220,163,0,250,200
48,773,879,0,800,900
49,797,913,1,800,950
50,655,166,0,700,200
51,956,277,0,1000,300
52,330,744,0,350,750
53,163,126,0,200,150
54,371,505,1,400,550
55,566,467,0,600,500
56,1161,404,0,1200,450
57,148,357,0,150,400
58,360,735,1,400,750
59,95,199,1,100,200
60,445,472,1,450,500
61,297,233,0,300,250
62,98,105,1,100,150
63,439,110,1,450,150
64,73,325,0,100,350
65,822,185,1,850,200
66,1581,178,1,1600,200
67,322,439,0,350,450
68,144,464,1,150,500
69,844,736,1,850,750
70,1586,1085,0,1600,1100
71,256,393,0,300,400
72,298,465,1,300,500
73,1058,131,1,1100,150
74,144,86,1,150,100
75,155,163,1,200,200
76,526,2261,0,550,2300
77,913,374,1,950,400
78,336,451,0,350,500
79,70,727,1,100,750
80,116,115,1,150,150
81,369,775,0,400,800
82,956,249,0,1000,250
83,1310,175,0,1350,200
84,435,344,0,450,350
85,146,128,1,150,150
86,179,98,1,200,100
87,396,312,1,400,350
88,285,540,1,300,550
89,499,128,1,500,150
90,566,1507,1,600,1550
91,198,472,0,200,500
92,1304,142,1,1350,150
93,499,478,0,500,500
94,343,78,0,350,100
95,243,365,0,250,400
96,796,365,0,800,400
97,462,456,0,500,500
98,360,671,0,400,700
99,115,76,1,150,100
100,972,464,1,1000,500
101,3000,2215,1,3000,2250
102,380,595,1,400,600
103,798,1067,0,800,1100
104,550,1507,1,550,1550
105,2058,668,0,2100,700
106,677,1140,1,700,1150
107,591,1009,1,600,1050
108,296,618,0,300,650
109,1029,860,0,1050,900
110,110,322,1,150,350
111,646,298,1,650,300
112,977,351,0,1000,400
113,474,1313,0,500,1350
114,282,508,0,300,550
115,558,440,0,600,450
116,91,96,1,100,100
117,86,322,1,100,350
118,178,178,1,200,200
119,904,217,0,950,250
120,99,355,1,100,400
121,172,1484,1,200,1500
122,1304,128,1,1350,150
123,221,238,1,250,250
124,852,422,1,900,450
125,146,84,1,150,100
126,428,590,0,450,600
127,536,340,0,550,350
128,557,683,1,600,700
129,505,586,1,550,600
130,141,256,1,150,300
131,144,2136,1,150,2150
132,765,205,0,800,250
133,234,1287,0,250,1300
134,1041,199,1,1050,200
135,180,140,1,200,150
136,247,715,0,250,750
137,478,563,0,500,600
138,1944,185,1,1950,200
139,861,498,0,900,500
140,124,360,1,150,400
141,312,895,1,350,900
142,1304,941,1,1350,950
143,423,201,0,450,250
144,361,363,0,400,400
145,887,721,1,900,750
146,1581,117,1,1600,150
147,352,374,1,400,400
148,798,503,1,800,550
149,148,312,1,150,350
150,643,744,0,650,750
151,115,640,1,150,650
152,370,348,1,400,350
153,878,968,1,900,1000
154,91,480,1,100,500
155,638,271,1,650,300
156,118,132,1,150,150
157,344,2261,0,350,2300
158,404,604,1,450,650
159,64,581,0,100,600
160,254,165,0,300,200
161,1581,252,0,1600,300
162,499,282,1,500,300
163,258,686,0,300,700
164,615,671,0,650,700
165,221,504,0,250,550
166,439,501,1,450,550
167,208,172,1,250,200
168,1134,1426,1,1150,1450
169,580,977,1,600,1000
170,119,1313,0,150,1350
171,1368,464,1,1400,500
172,96,1225,0,100,1250
173,1031,363,0,1050,400
174,177,941,1,200,950
175,474,126,0,500,150
176,921,1154,0,950,1200
177,1002,1276,0,1050,1300
178,1368,647,0,1400,650
179,808,217,0,850,250
180,85,424,0,100,450
181,604,682,1,650,700
182,1382,84,1,1400,100
183,839,604,0,850,650
184,282,1670,0,300,1700
185,1041,501,1,1050,550
186,731,442,1,750,450
187,2221,498,0,2250,500
188,194,890,0,200,900
189,305,372,0,350,400
190,352,325,1,400,350
191,1041,96,1,1050,100
192,659,466,0,700,500
193,729,595,1,750,600
194,720,244,0,750,250
195,216,1507,1,250,1550
196,322,150,0,350,150
197,70,147,0,100,150
198,709,493,0,750,500
199,846,475,0,850,500
200,505,725,0,550,750
201,797,824,0,800,850
202,1507,442,1,1550,450
203,420,454,0,450,500
204,1304,86,1,1350,100
205,144,1227,1,150,1250
206,522,2136,1,550,2150
207,277,442,0,300,450
208,578,597,0,600,600
209,1154,787,1,1200,800
210,184,328,0,200,350
211,643,501,0,650,550
212,67,380,1,100,400
213,866,955,0,900,1000
214,257,1976,0,300,2000
215,159,820,1,200,850
216,1382,113,1,1400,150
217,148,424,1,150,450
