model_1,model_2,R,p_value
esm,esm,1.0,0.0
esm,prose,0.9527827599949144,0.0
esm,proteinbert,0.9393782504173187,0.0
esm,prottrans_bert,0.9658639976730391,0.0
esm,prottrans_t5,0.9667323025094472,0.0
esm,squeezeprot_u50,0.9609003700764839,0.0
esm,squeezeprot_sp_strict,0.9087883356294293,0.0
esm,squeezeprot_sp_nonstrict,0.9394655237269474,0.0
esm,dscript,0.8571770647155698,4.206357197148121e-301
prose,esm,0.9527827599949144,0.0
prose,prose,1.0,0.0
prose,proteinbert,0.9549644566531286,0.0
prose,prottrans_bert,0.9635451414479581,0.0
prose,prottrans_t5,0.9503490260535237,0.0
prose,squeezeprot_u50,0.9617824220911017,0.0
prose,squeezeprot_sp_strict,0.8978308921703879,0.0
prose,squeezeprot_sp_nonstrict,0.9348498639051804,0.0
prose,dscript,0.8750119883950569,0.0
proteinbert,esm,0.9393782504173187,0.0
proteinbert,prose,0.9549644566531286,0.0
proteinbert,proteinbert,0.9999999999999999,0.0
proteinbert,prottrans_bert,0.9535323485119721,0.0
proteinbert,prottrans_t5,0.939153857096991,0.0
proteinbert,squeezeprot_u50,0.952434407568912,0.0
proteinbert,squeezeprot_sp_strict,0.8938192609110296,0.0
proteinbert,squeezeprot_sp_nonstrict,0.927486758500546,0.0
proteinbert,dscript,0.8916867907655044,0.0
prottrans_bert,esm,0.9658639976730391,0.0
prottrans_bert,prose,0.9635451414479581,0.0
prottrans_bert,proteinbert,0.9535323485119721,0.0
prottrans_bert,prottrans_bert,0.9999999999999999,0.0
prottrans_bert,prottrans_t5,0.9628368818806466,0.0
prottrans_bert,squeezeprot_u50,0.9592203305471996,0.0
prottrans_bert,squeezeprot_sp_strict,0.9071010633757741,0.0
prottrans_bert,squeezeprot_sp_nonstrict,0.9373527961602991,0.0
prottrans_bert,dscript,0.8829273011665397,0.0
prottrans_t5,esm,0.9667323025094472,0.0
prottrans_t5,prose,0.9503490260535237,0.0
prottrans_t5,proteinbert,0.939153857096991,0.0
prottrans_t5,prottrans_bert,0.9628368818806466,0.0
prottrans_t5,prottrans_t5,1.0,0.0
prottrans_t5,squeezeprot_u50,0.9596222407807217,0.0
prottrans_t5,squeezeprot_sp_strict,0.9090942578958552,0.0
prottrans_t5,squeezeprot_sp_nonstrict,0.9390494470466658,0.0
prottrans_t5,dscript,0.8635315188334062,1.3848541761426e-310
squeezeprot_u50,esm,0.9609003700764839,0.0
squeezeprot_u50,prose,0.9617824220911017,0.0
squeezeprot_u50,proteinbert,0.952434407568912,0.0
squeezeprot_u50,prottrans_bert,0.9592203305471996,0.0
squeezeprot_u50,prottrans_t5,0.9596222407807217,0.0
squeezeprot_u50,squeezeprot_u50,1.0,0.0
squeezeprot_u50,squeezeprot_sp_strict,0.9068416949110263,0.0
squeezeprot_u50,squeezeprot_sp_nonstrict,0.9464447188363785,0.0
squeezeprot_u50,dscript,0.8796121259456876,0.0
squeezeprot_sp_strict,esm,0.9087883356294293,0.0
squeezeprot_sp_strict,prose,0.8978308921703879,0.0
squeezeprot_sp_strict,proteinbert,0.8938192609110296,0.0
squeezeprot_sp_strict,prottrans_bert,0.9071010633757741,0.0
squeezeprot_sp_strict,prottrans_t5,0.9090942578958552,0.0
squeezeprot_sp_strict,squeezeprot_u50,0.9068416949110263,0.0
squeezeprot_sp_strict,squeezeprot_sp_strict,1.0,0.0
squeezeprot_sp_strict,squeezeprot_sp_nonstrict,0.9145667950733987,0.0
squeezeprot_sp_strict,dscript,0.8055991676512513,5.441821406681349e-238
squeezeprot_sp_nonstrict,esm,0.9394655237269474,0.0
squeezeprot_sp_nonstrict,prose,0.9348498639051804,0.0
squeezeprot_sp_nonstrict,proteinbert,0.927486758500546,0.0
squeezeprot_sp_nonstrict,prottrans_bert,0.9373527961602991,0.0
squeezeprot_sp_nonstrict,prottrans_t5,0.9390494470466658,0.0
squeezeprot_sp_nonstrict,squeezeprot_u50,0.9464447188363785,0.0
squeezeprot_sp_nonstrict,squeezeprot_sp_strict,0.9145667950733987,0.0
squeezeprot_sp_nonstrict,squeezeprot_sp_nonstrict,1.0,0.0
squeezeprot_sp_nonstrict,dscript,0.8443804597015463,2.4887473155752613e-283
dscript,esm,0.8571770647155698,4.206357197148121e-301
dscript,prose,0.8750119883950569,0.0
dscript,proteinbert,0.8916867907655044,0.0
dscript,prottrans_bert,0.8829273011665397,0.0
dscript,prottrans_t5,0.8635315188334062,1.3848541761426e-310
dscript,squeezeprot_u50,0.8796121259456876,0.0
dscript,squeezeprot_sp_strict,0.8055991676512513,5.441821406681349e-238
dscript,squeezeprot_sp_nonstrict,0.8443804597015463,2.4887473155752613e-283
dscript,dscript,0.999999999999999,0.0
