,id,prey_id,bait_id,yhat,mist_score,saint_bfdr_score,avg_spec_score,saint_score,fold_change,pos
0,0,A0A0U1RRE5,YP_009724392.1,0.27101448,0.3223596,0.5,1.67,0.04,1.08,False
1,1,A1KXE4,YP_009724392.1,0.23735994,0.012301656,0.69,0.33,0.0,0.61,False
2,2,A6NDG6,YP_009724392.1,0.1649072,0.318944611,0.62,3.33,0.0,0.81,False
3,3,A6NHQ2,YP_009724392.1,0.44712067,0.046175657,0.69,0.33,0.0,3.33,False
4,4,E9PRG8,YP_009724392.1,0.1737269,0.34460932,0.44,1.33,0.1,1.63,False
5,5,O00139,YP_009724392.1,0.10466754,0.032190109,0.32,0.67,0.3,3.67,False
6,6,O00165,YP_009724392.1,0.08257779,0.010198889,0.23,0.67,0.32,6.67,False
7,7,O00170,YP_009724392.1,0.06325774,0.285577991,0.69,2.0,0.0,0.5,False
8,8,O00178,YP_009724392.1,0.21171057,0.240945996,0.39,1.0,0.19,2.2,False
9,9,O00203,YP_009724392.1,0.12020196,0.963550095,0.0,4.67,0.99,46.67,True
10,10,O00244,YP_009724392.1,0.11171752,0.32284905,0.63,2.67,0.0,0.75,False
11,11,O00422,YP_009724392.1,0.52242625,0.061973772,0.69,0.33,0.0,1.22,False
12,12,O00443,YP_009724392.1,0.17637591,0.275017263,0.69,0.67,0.0,6.67,False
13,13,O00458,YP_009724392.1,0.07422149,0.268574808,0.69,0.67,0.0,6.67,False
14,14,O00479,YP_009724392.1,0.08130969,0.161693277,0.47,1.67,0.07,0.96,False
15,15,O00483,YP_009724392.1,0.07427311,0.312457717,0.69,1.0,0.0,2.75,False
16,16,O00488,YP_009724392.1,0.63036525,0.047579269,0.36,0.67,0.23,1.83,False
17,17,O00541,YP_009724392.1,0.07740396,0.235678718,0.37,3.67,0.23,1.68,False
18,18,O00567,YP_009724392.1,0.09695997,0.204319123,0.17,1.67,0.34,2.29,False
19,19,O00571,YP_009724392.1,0.09545463,0.327034718,0.6,3.0,0.0,1.0,False
20,20,O00743,YP_009724392.1,0.07771203,0.027081208,0.69,0.33,0.0,3.33,False
21,21,O14556,YP_009724392.1,0.26134518,0.009659058,0.69,0.33,0.0,0.41,False
22,22,O14617,YP_009724392.1,0.5200738,0.460963359,0.18,1.67,0.33,16.67,False
23,23,O14654,YP_009724392.1,0.12365067,0.293700957,0.05,2.0,0.65,20.0,False
24,24,O14730,YP_009724392.1,0.10895714,0.20943204,0.69,0.33,0.0,3.33,False
25,25,O14735,YP_009724392.1,0.12132736,0.035457565,0.69,0.33,0.0,3.33,False
26,26,O14757,YP_009724392.1,0.5454217,0.344766814,0.6,2.0,0.0,0.79,False
27,27,O14776,YP_009724392.1,0.15130989,0.041729881,0.69,0.33,0.0,3.33,False
28,28,O14965,YP_009724392.1,0.07589492,0.013351515,0.48,0.67,0.06,0.67,False
29,29,O15042,YP_009724392.1,0.10634696,0.336987969,0.69,19.0,0.0,0.92,False
30,30,O15145,YP_009724392.1,0.07870608,0.215369376,0.69,0.67,0.0,0.92,False
31,31,O15235,YP_009724392.1,0.09797622,0.305616182,0.59,3.33,0.0,0.92,False
32,32,O15347,YP_009724392.1,0.27967393,0.227397441,0.56,6.67,0.01,1.33,False
33,33,O15371,YP_009724392.1,0.18922545,0.262384875,0.69,0.67,0.0,3.67,False
34,34,O15372,YP_009724392.1,0.07130489,0.235578055,0.69,0.67,0.0,6.67,False
35,35,O43175,YP_009724392.1,0.075273216,0.322416579,0.16,3.67,0.38,2.52,False
36,36,O43290,YP_009724392.1,0.46660957,0.234452088,0.36,1.0,0.23,2.75,False
37,37,O43390,YP_009724392.1,0.07365544,0.00619531,0.69,0.33,0.0,0.22,False
38,38,O43396,YP_009724392.1,0.10466434,0.190332988,0.5,1.33,0.04,0.86,False
39,39,O43482,YP_009724392.1,0.3061406,0.313568215,0.69,1.0,0.0,0.73,False
40,40,O43583,YP_009724392.1,0.15528816,0.193306002,0.38,1.33,0.2,1.63,False
41,41,O43663,YP_009724392.1,0.07168764,0.012841162,0.69,0.33,0.0,0.46,False
42,42,O43670,YP_009724392.1,0.118110135,0.228413355,0.15,2.0,0.41,2.75,False
