,id,prey_id,bait_id,yhat,mist_score,saint_bfdr_score,avg_spec_score,saint_score,fold_change,pos
0,0,A0A0U1RRE5,YP_009724392.1,0.9289061,0.3223596,0.5,1.67,0.04,1.08,False
1,1,A1KXE4,YP_009724392.1,0.46169853,0.012301656,0.69,0.33,0.0,0.61,False
2,2,A6NDG6,YP_009724392.1,0.947235,0.318944611,0.62,3.33,0.0,0.81,False
3,3,A6NHQ2,YP_009724392.1,0.65180415,0.046175657,0.69,0.33,0.0,3.33,False
4,4,E9PRG8,YP_009724392.1,0.8988077,0.34460932,0.44,1.33,0.1,1.63,False
5,5,O00139,YP_009724392.1,0.89680076,0.032190109,0.32,0.67,0.3,3.67,False
6,6,O00165,YP_009724392.1,0.5920256,0.010198889,0.23,0.67,0.32,6.67,False
7,7,O00170,YP_009724392.1,0.6245594,0.285577991,0.69,2.0,0.0,0.5,False
8,8,O00178,YP_009724392.1,0.8811212,0.240945996,0.39,1.0,0.19,2.2,False
9,9,O00203,YP_009724392.1,0.5294281,0.963550095,0.0,4.67,0.99,46.67,True
10,10,O00244,YP_009724392.1,0.7141509,0.32284905,0.63,2.67,0.0,0.75,False
11,11,O00422,YP_009724392.1,0.7948199,0.061973772,0.69,0.33,0.0,1.22,False
12,12,O00443,YP_009724392.1,0.8371505,0.275017263,0.69,0.67,0.0,6.67,False
13,13,O00458,YP_009724392.1,0.6654274,0.268574808,0.69,0.67,0.0,6.67,False
14,14,O00479,YP_009724392.1,0.7239485,0.161693277,0.47,1.67,0.07,0.96,False
15,15,O00483,YP_009724392.1,0.6767036,0.312457717,0.69,1.0,0.0,2.75,False
16,16,O00488,YP_009724392.1,0.9464946,0.047579269,0.36,0.67,0.23,1.83,False
17,17,O00541,YP_009724392.1,0.78007776,0.235678718,0.37,3.67,0.23,1.68,False
18,18,O00567,YP_009724392.1,0.8510119,0.204319123,0.17,1.67,0.34,2.29,False
19,19,O00571,YP_009724392.1,0.7220451,0.327034718,0.6,3.0,0.0,1.0,False
20,20,O00743,YP_009724392.1,0.63658357,0.027081208,0.69,0.33,0.0,3.33,False
21,21,O14556,YP_009724392.1,0.8196611,0.009659058,0.69,0.33,0.0,0.41,False
22,22,O14617,YP_009724392.1,0.6901669,0.460963359,0.18,1.67,0.33,16.67,False
23,23,O14654,YP_009724392.1,0.7153675,0.293700957,0.05,2.0,0.65,20.0,False
24,24,O14730,YP_009724392.1,0.60323626,0.20943204,0.69,0.33,0.0,3.33,False
25,25,O14735,YP_009724392.1,0.7142634,0.035457565,0.69,0.33,0.0,3.33,False
26,26,O14757,YP_009724392.1,0.95387995,0.344766814,0.6,2.0,0.0,0.79,False
27,27,O14776,YP_009724392.1,0.61419207,0.041729881,0.69,0.33,0.0,3.33,False
28,28,O14965,YP_009724392.1,0.60741556,0.013351515,0.48,0.67,0.06,0.67,False
29,29,O15042,YP_009724392.1,0.7712366,0.336987969,0.69,19.0,0.0,0.92,False
30,30,O15145,YP_009724392.1,0.6422149,0.215369376,0.69,0.67,0.0,0.92,False
31,31,O15235,YP_009724392.1,0.8458202,0.305616182,0.59,3.33,0.0,0.92,False
32,32,O15347,YP_009724392.1,0.94924766,0.227397441,0.56,6.67,0.01,1.33,False
33,33,O15371,YP_009724392.1,0.5491352,0.262384875,0.69,0.67,0.0,3.67,False
34,34,O15372,YP_009724392.1,0.7547613,0.235578055,0.69,0.67,0.0,6.67,False
35,35,O43175,YP_009724392.1,0.8158522,0.322416579,0.16,3.67,0.38,2.52,False
36,36,O43290,YP_009724392.1,0.8454321,0.234452088,0.36,1.0,0.23,2.75,False
37,37,O43390,YP_009724392.1,0.6413499,0.00619531,0.69,0.33,0.0,0.22,False
38,38,O43396,YP_009724392.1,0.70788556,0.190332988,0.5,1.33,0.04,0.86,False
39,39,O43482,YP_009724392.1,0.83800644,0.313568215,0.69,1.0,0.0,0.73,False
40,40,O43583,YP_009724392.1,0.77774125,0.193306002,0.38,1.33,0.2,1.63,False
41,41,O43663,YP_009724392.1,0.5452287,0.012841162,0.69,0.33,0.0,0.46,False
42,42,O43670,YP_009724392.1,0.5710811,0.228413355,0.15,2.0,0.41,2.75,False
43,43,O43684,YP_009724392.1,0.50697744,0.21692872,0.54,4.33,0.02,1.13,False
44,44,O43809,YP_009724392.1,0.6230526,0.221720854,0.45,2.33,0.1,1.35,False
45,45,O43813,YP_009724392.1,0.8534019,0.040476497,0.69,0.33,0.0,0.73,False
46,46,O43837,YP_009724392.1,0.72248507,0.301579754,0.69,1.0,0.0,0.42,False
47,47,O60547,YP_009724392.1,0.97176987,0.020140418,0.69,0.33,0.0,0.52,False
48,48,O60563,YP_009724392.1,0.81021327,0.102648021,0.69,0.33,0.0,3.33,False
49,49,O60716,YP_009724392.1,0.6513398,0.21944688,0.42,1.67,0.14,1.41,False
50,50,O60762,YP_009724392.1,0.5279305,0.170344571,0.19,1.33,0.33,13.33,False
51,51,O60828,YP_009724392.1,0.8450427,0.117850806,0.33,0.67,0.29,3.67,False
52,52,O60832,YP_009724392.1,0.8225099,0.207268264,0.69,0.67,0.0,0.73,False
53,53,O60841,YP_009724392.1,0.78760725,0.219158136,0.65,6.33,0.0,0.86,False
54,54,O60869,YP_009724392.1,0.81139463,0.329170314,0.17,5.0,0.34,2.04,False
55,55,O60884,YP_009724392.1,0.8681926,0.304976055,0.0,3.0,0.98,30.0,False
56,56,O60885,YP_009724392.1,0.81042755,0.97848835,0.0,2.67,0.97,26.67,True
57,57,O75190,YP_009724392.1,0.578118,0.040685819,0.69,0.33,0.0,3.33,False
58,58,O75340,YP_009724392.1,0.6980308,0.215706985,0.64,3.0,0.0,0.67,False
59,59,O75367,YP_009724392.1,0.8699304,0.01578298,0.69,0.33,0.0,0.41,False
60,60,O75400,YP_009724392.1,0.8596074,0.328298114,0.57,4.0,0.0,1.16,False
61,61,O75475,YP_009724392.1,0.60841995,0.214666334,0.69,0.67,0.0,0.56,False
62,62,O75531,YP_009724392.1,0.63993937,0.38012619,0.4,1.67,0.16,1.67,False
63,63,O75533,YP_009724392.1,0.545744,0.169380598,0.37,1.67,0.23,1.53,False
64,64,O75554,YP_009724392.1,0.6347443,0.137027918,0.69,0.33,0.0,3.33,False
65,65,O75694,YP_009724392.1,0.75285923,0.331299949,0.42,3.67,0.13,1.55,False
66,66,O75817,YP_009724392.1,0.64131355,0.422467289,0.69,0.33,0.0,3.33,False
67,67,O75821,YP_009724392.1,0.8258924,0.264277839,0.69,0.67,0.0,3.67,False
68,68,O75937,YP_009724392.1,0.82460415,0.220652759,0.35,5.33,0.25,1.73,False
69,69,O75940,YP_009724392.1,0.86196244,0.346565683,0.51,5.0,0.04,1.57,False
70,70,O76031,YP_009724392.1,0.7444405,0.237160071,0.69,0.67,0.0,1.83,False
71,71,O94832,YP_009724392.1,0.79383355,0.109803271,0.69,0.33,0.0,3.33,False
72,72,O94903,YP_009724392.1,0.6424471,0.336235049,0.64,4.0,0.0,0.88,False
73,73,O95218,YP_009724392.1,0.864953,0.338292526,0.33,1.0,0.29,5.5,False
74,74,O95232,YP_009724392.1,0.4653555,0.328474401,0.69,15.0,0.0,0.84,False
