,id,prey_id,bait_id,yhat,mist_score,saint_bfdr_score,avg_spec_score,saint_score,fold_change,pos
0,1,A1KXE4,YP_009724392.1,0.032017216,0.012301656,0.69,0.33,0.0,0.61,False
1,2,A6NDG6,YP_009724392.1,0.041106224,0.318944611,0.62,3.33,0.0,0.81,False
2,3,A6NHQ2,YP_009724392.1,0.05183088,0.046175657,0.69,0.33,0.0,3.33,False
3,4,E9PRG8,YP_009724392.1,0.029592326,0.34460932,0.44,1.33,0.1,1.63,False
4,5,O00139,YP_009724392.1,0.040190544,0.032190109,0.32,0.67,0.3,3.67,False
5,6,O00165,YP_009724392.1,0.057556156,0.010198889,0.23,0.67,0.32,6.67,False
6,7,O00170,YP_009724392.1,0.07055292,0.285577991,0.69,2.0,0.0,0.5,False
7,8,O00178,YP_009724392.1,0.055070117,0.240945996,0.39,1.0,0.19,2.2,False
8,9,O00203,YP_009724392.1,0.11782886,0.963550095,0.0,4.67,0.99,46.67,True
9,10,O00244,YP_009724392.1,0.098283775,0.32284905,0.63,2.67,0.0,0.75,False
10,11,O00422,YP_009724392.1,0.028999947,0.061973772,0.69,0.33,0.0,1.22,False
11,12,O00443,YP_009724392.1,0.028014023,0.275017263,0.69,0.67,0.0,6.67,False
12,13,O00458,YP_009724392.1,0.065313555,0.268574808,0.69,0.67,0.0,6.67,False
13,14,O00479,YP_009724392.1,0.06440202,0.161693277,0.47,1.67,0.07,0.96,False
14,15,O00483,YP_009724392.1,0.0497501,0.312457717,0.69,1.0,0.0,2.75,False
15,16,O00488,YP_009724392.1,0.09976059,0.047579269,0.36,0.67,0.23,1.83,False
16,17,O00541,YP_009724392.1,0.027148664,0.235678718,0.37,3.67,0.23,1.68,False
17,18,O00567,YP_009724392.1,0.03514207,0.204319123,0.17,1.67,0.34,2.29,False
18,19,O00571,YP_009724392.1,0.03281088,0.327034718,0.6,3.0,0.0,1.0,False
19,20,O00743,YP_009724392.1,0.09755133,0.027081208,0.69,0.33,0.0,3.33,False
20,21,O14556,YP_009724392.1,0.07708848,0.009659058,0.69,0.33,0.0,0.41,False
21,22,O14617,YP_009724392.1,0.04149593,0.460963359,0.18,1.67,0.33,16.67,False
22,23,O14654,YP_009724392.1,0.06595045,0.293700957,0.05,2.0,0.65,20.0,False
23,24,O14730,YP_009724392.1,0.4132053,0.20943204,0.69,0.33,0.0,3.33,False
