,id,prey_id,bait_id,yhat,mist_score,saint_bfdr_score,avg_spec_score,saint_score,fold_change,pos
0,1,A1KXE4,YP_009724392.1,0.08484508,0.012301656,0.69,0.33,0.0,0.61,False
1,2,A6NDG6,YP_009724392.1,0.23313901,0.318944611,0.62,3.33,0.0,0.81,False
2,3,A6NHQ2,YP_009724392.1,0.3314137,0.046175657,0.69,0.33,0.0,3.33,False
3,4,E9PRG8,YP_009724392.1,0.050861802,0.34460932,0.44,1.33,0.1,1.63,False
4,5,O00139,YP_009724392.1,0.052433874,0.032190109,0.32,0.67,0.3,3.67,False
5,6,O00165,YP_009724392.1,0.06151976,0.010198889,0.23,0.67,0.32,6.67,False
6,7,O00170,YP_009724392.1,0.101312384,0.285577991,0.69,2.0,0.0,0.5,False
7,8,O00178,YP_009724392.1,0.11351192,0.240945996,0.39,1.0,0.19,2.2,False
8,9,O00203,YP_009724392.1,0.22783862,0.963550095,0.0,4.67,0.99,46.67,True
9,10,O00244,YP_009724392.1,0.12737799,0.32284905,0.63,2.67,0.0,0.75,False
10,11,O00422,YP_009724392.1,0.036305558,0.061973772,0.69,0.33,0.0,1.22,False
11,12,O00443,YP_009724392.1,0.045343474,0.275017263,0.69,0.67,0.0,6.67,False
12,13,O00458,YP_009724392.1,0.05184966,0.268574808,0.69,0.67,0.0,6.67,False
13,14,O00479,YP_009724392.1,0.056720935,0.161693277,0.47,1.67,0.07,0.96,False
14,15,O00483,YP_009724392.1,0.03919075,0.312457717,0.69,1.0,0.0,2.75,False
15,16,O00488,YP_009724392.1,0.23710136,0.047579269,0.36,0.67,0.23,1.83,False
16,17,O00541,YP_009724392.1,0.04377619,0.235678718,0.37,3.67,0.23,1.68,False
17,18,O00567,YP_009724392.1,0.052632134,0.204319123,0.17,1.67,0.34,2.29,False
18,19,O00571,YP_009724392.1,0.18441503,0.327034718,0.6,3.0,0.0,1.0,False
19,20,O00743,YP_009724392.1,0.07588104,0.027081208,0.69,0.33,0.0,3.33,False
20,21,O14556,YP_009724392.1,0.114896394,0.009659058,0.69,0.33,0.0,0.41,False
21,22,O14617,YP_009724392.1,0.06326062,0.460963359,0.18,1.67,0.33,16.67,False
22,23,O14654,YP_009724392.1,0.0609445,0.293700957,0.05,2.0,0.65,20.0,False
23,24,O14730,YP_009724392.1,0.5023398,0.20943204,0.69,0.33,0.0,3.33,False
24,25,O14735,YP_009724392.1,0.046669587,0.035457565,0.69,0.33,0.0,3.33,False
25,26,O14757,YP_009724392.1,0.54002154,0.344766814,0.6,2.0,0.0,0.79,False
26,27,O14776,YP_009724392.1,0.06315913,0.041729881,0.69,0.33,0.0,3.33,False
27,28,O14965,YP_009724392.1,0.04155825,0.013351515,0.48,0.67,0.06,0.67,False
28,29,O15042,YP_009724392.1,0.07124334,0.336987969,0.69,19.0,0.0,0.92,False
29,30,O15145,YP_009724392.1,0.10217741,0.215369376,0.69,0.67,0.0,0.92,False
30,31,O15235,YP_009724392.1,0.0611794,0.305616182,0.59,3.33,0.0,0.92,False
31,32,O15347,YP_009724392.1,0.21895432,0.227397441,0.56,6.67,0.01,1.33,False
32,33,O15371,YP_009724392.1,0.05745243,0.262384875,0.69,0.67,0.0,3.67,False
33,34,O15372,YP_009724392.1,0.04735132,0.235578055,0.69,0.67,0.0,6.67,False
34,35,O43175,YP_009724392.1,0.07300495,0.322416579,0.16,3.67,0.38,2.52,False
35,36,O43290,YP_009724392.1,0.1405048,0.234452088,0.36,1.0,0.23,2.75,False
36,37,O43390,YP_009724392.1,0.06184291,0.00619531,0.69,0.33,0.0,0.22,False
37,38,O43396,YP_009724392.1,0.20489864,0.190332988,0.5,1.33,0.04,0.86,False
38,39,O43482,YP_009724392.1,0.07347274,0.313568215,0.69,1.0,0.0,0.73,False
39,40,O43583,YP_009724392.1,0.062235445,0.193306002,0.38,1.33,0.2,1.63,False
40,41,O43663,YP_009724392.1,0.04611552,0.012841162,0.69,0.33,0.0,0.46,False
41,42,O43670,YP_009724392.1,0.054116517,0.228413355,0.15,2.0,0.41,2.75,False
42,43,O43684,YP_009724392.1,0.05693724,0.21692872,0.54,4.33,0.02,1.13,False
43,44,O43809,YP_009724392.1,0.20184016,0.221720854,0.45,2.33,0.1,1.35,False
44,45,O43813,YP_009724392.1,0.07477648,0.040476497,0.69,0.33,0.0,0.73,False
45,46,O43837,YP_009724392.1,0.10928857,0.301579754,0.69,1.0,0.0,0.42,False
46,47,O60547,YP_009724392.1,0.07512255,0.020140418,0.69,0.33,0.0,0.52,False
47,48,O60563,YP_009724392.1,0.36148044,0.102648021,0.69,0.33,0.0,3.33,False
48,49,O60716,YP_009724392.1,0.047671255,0.21944688,0.42,1.67,0.14,1.41,False
49,50,O60762,YP_009724392.1,0.09856615,0.170344571,0.19,1.33,0.33,13.33,False
50,51,O60828,YP_009724392.1,0.060183838,0.117850806,0.33,0.67,0.29,3.67,False
51,52,O60832,YP_009724392.1,0.046147764,0.207268264,0.69,0.67,0.0,0.73,False
52,53,O60841,YP_009724392.1,0.042284235,0.219158136,0.65,6.33,0.0,0.86,False
53,54,O60869,YP_009724392.1,0.041410435,0.329170314,0.17,5.0,0.34,2.04,False
54,55,O60884,YP_009724392.1,0.044519175,0.304976055,0.0,3.0,0.98,30.0,False
55,56,O60885,YP_009724392.1,0.06025834,0.97848835,0.0,2.67,0.97,26.67,True
56,57,O75190,YP_009724392.1,0.04478912,0.040685819,0.69,0.33,0.0,3.33,False
