,,SqueezeProt-SP (Non-strict),SqueezeProt-SP (Strict)
Method,pLM-based?,Cohen's Kappa,SNC,Cohen's Kappa,SNC
ESM2-650M,✔,0.39,0.512,0.326,0.537
ProtT5-XL,✔,0.383,0.505,0.319,0.529
ProtBERT,✔,0.387,0.503,0.326,0.524
ProSE,✔,0.376,0.492,0.304,0.5
ProteinBERT,✔,0.362,0.479,0.346,0.542
D-SCRIPT,✔,0.238,0.441,0.198,0.453
,Mean,0.356,0.489,0.303,0.514
,StDev,0.0534,0.0239,0.0487,0.0305
RAPPPID,✘,0.29,0.485,0.299,0.532
Richoux,✘,0.112,0.551,0.0924,0.57
SPRINT,✘,-0.00391,0.437,0.0149,0.428
PIPR,✘,-0.0102,0.561,-0.011,0.587
,Mean,0.097,0.508,0.0989,0.529
,StDev,0.122,0.0507,0.122,0.0617
