ProtT5-XL,✔,0.877,0.00462,0.864,0.00494,0.578,0.0114
ESM2-650M,✔,0.866,0.00314,0.851,0.00169,0.56,0.014
ProtBERT,✔,0.846,0.00768,0.839,0.00727,0.511,0.0182
SqueezeProt-U50,✔,0.821,0.00599,0.8,0.00464,0.471,0.00343
ProSE,✔,0.818,0.00545,0.802,0.00615,0.469,0.018
ProteinBERT,✔,0.809,0.000486,0.782,0.00436,0.469,0.0107
SqueezeProt-SP (Non-strict),✔,0.77,0.00938,0.747,0.00815,0.359,0.017
SqueezeProt-SP (Strict),✔,0.747,0.00299,0.718,0.00849,0.328,0.0195
RAPPPID,✘,0.728,0.0225,0.714,0.0146,0.303,0.0369
D-SCRIPT,✘,0.617,0.12,0.614,0.0816,0.143,0.143
Richoux,✘,0.602,0.00662,0.607,0.00385,0.155,0.0131
SPRINT,✘,0.59,0.059,0.632,0.0612,0.116,0.0907
PIPR,✘,0.483,0.00484,0.484,0.00251,-0.0233,0.00734
